manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price,car_age
Acura,Mdx,2008,105242,Nigerian used,D,Petrol,Automatic,grey,2586000,13
Toyota,Highlander,2001,152321,Nigerian used,C,Petrol,Automatic,green,1914000,20
Ford,Explorer,2014,60187,Nigerian used,C,Petrol,Automatic,brown,4154000,7
Toyota,Camry,2002,145156,Nigerian used,E,Petrol,Automatic,black,1354000,19
Toyota,Corolla,2007,192775,Nigerian used,D,Petrol,Automatic,gold,1522000,14
Toyota,Camry,2005,164151,Nigerian used,C,Petrol,Automatic,red,1634000,16
Kia,Sportage,2011,86318,Nigerian used,C,Petrol,Manual,brown,1802000,10
Toyota,Camry,2007,156872,Nigerian used,E,Petrol Electric,Automatic,gold,1466000,14
Toyota,Sequoia,2005,5286,Nigerian used,C,Petrol,Automatic,blue,1690000,16
Toyota,Camry,2005,140388,Nigerian used,D,Petrol,Automatic,gold,1354000,16
Honda,Pilot,2004,201697,Nigerian used,E,Petrol,Automatic,black,1242000,17
Honda,Accord,2006,141155,Nigerian used,E,Petrol,Automatic,grey,794000,15
Ford,Escape,2005,202726,Nigerian used,D,Petrol,Automatic,green,570000,16
Lexus,Es 350,2007,108502,Nigerian used,C,Petrol,Automatic,silver,3090000,14
Honda,Pilot,2003,1010,Nigerian used,C,Petrol,Automatic,silver,1634000,18
Honda,Accord,2008,209833,Nigerian used,C,Petrol,Automatic,black,1746000,13
Toyota,Corolla,2005,128055,Nigerian used,E,Petrol,Automatic,black,1690000,16
Toyota,Avalon,2006,183384,Nigerian used,C,Petrol,Automatic,black,1186000,15
Mercedes-Benz,GL450,2011,87660,Nigerian used,D,Petrol,Automatic,silver,5554000,10
Toyota,Sienna,2002,214532,Nigerian used,C,Petrol,Automatic,white,1354000,19
Toyota,Camry,2009,95252,Foreign used,C,Petrol,Automatic,grey,2698000,12
Honda,Accord,2003,159702,Nigerian used,E,Petrol,Automatic,blue,570000,18
Kia,Sportage,2011,96593,Nigerian used,D,Petrol,Automatic,brown,1970000,10
Hyundai,Santa Fe,2002,186287,Nigerian used,D,Petrol,Automatic,gold,738000,19
GMC,Acadia,2014,112892,Nigerian used,D,Petrol,Automatic,white,5162000,7
Toyota,Camry,2007,135824,Nigerian used,E,Petrol,Automatic,black,962000,14
Lexus,Es,2007,99751,Nigerian used,D,Petrol,Automatic,silver,3034000,14
Toyota,Camry,2007,129315,Nigerian used,E,Petrol,Automatic,green,1802000,14
Infiniti,Fx,2004,84152,Nigerian used,E,Petrol,Automatic,grey,794000,17
Hyundai,Veloster,2013,33027,Nigerian used,C,Petrol,Automatic,gold,2922000,8
Honda,Pilot,2003,154638,Nigerian used,D,Petrol,Automatic,black,1018000,18
Kia,Mohave,2013,107620,Nigerian used,E,Petrol,Automatic,black,1690000,8
Toyota,Corolla,2008,113802,Nigerian used,D,Petrol,Manual,black,794000,13
Toyota,Camry,2012,81037,Foreign used,E,Petrol,Automatic,silver,4266000,9
Lexus,Es 350,2011,69518,Foreign used,C,Petrol,Automatic,black,5274000,10
Chevrolet,Epica,2007,144346,Nigerian used,C,Petrol,Automatic,white,1914000,14
Toyota,Camry,2004,321191,Nigerian used,E,Petrol,Automatic,black,1354000,17
Peugeot,307,2008,98724,Nigerian used,D,Petrol,Automatic,black,850000,13
Toyota,Corolla,2003,144406,Nigerian used,D,Petrol,Automatic,beige,1578000,18
Honda,Ridgeline,2007,180480,Nigerian used,E,Petrol,Automatic,silver,1354000,14
Toyota,Corolla,2010,81896,Nigerian used,D,Petrol,Automatic,black,2362000,11
Toyota,Venza,2015,71484,Nigerian used,D,Petrol,Automatic,blue,5610000,6
Toyota,Rav4,2002,181469,Nigerian used,D,Petrol,Automatic,black,1130000,19
Toyota,Highlander,2009,263078,Nigerian used,D,Petrol,Automatic,grey,3370000,12
Honda,Cr-V,2008,182493,Nigerian used,C,Petrol,Automatic,grey,2026000,13
Mazda,Cx-7,2008,83423,Nigerian used,D,Petrol,Automatic,black,1690000,13
Toyota,Highlander,2007,93857,Nigerian used,D,Petrol,Automatic,white,4714000,14
Toyota,Corolla,2011,66899,Foreign used,D,Petrol,Automatic,silver,3706000,10
Toyota,Camry,2007,111326,Nigerian used,C,Petrol,Automatic,blue,1522000,14
Mercedes-Benz,C300,2009,133047,Nigerian used,D,Petrol,Automatic,black,2810000,12
Toyota,Camry,2011,68640,Foreign used,D,Petrol,Automatic,silver,2810000,10
BMW,X5,2004,186561,Nigerian used,E,Petrol,Automatic,brown,850000,17
Nissan,Xterra,2006,114063,Nigerian used,D,Petrol,Automatic,black,1018000,15
Toyota,Camry,2009,277218,Foreign used,C,Petrol Electric,Semiautomatic,red,2306000,12
Toyota,Sienna,2004,261729,Foreign used,C,Petrol,Automatic,grey,2586000,17
Mercedes-Benz,E320,2005,142373,Nigerian used,C,Petrol,Automatic,grey,1242000,16
Land Rover,Range Rover Sport,2010,72071,Nigerian used,C,Petrol,Automatic,red,5050000,11
Honda,Cr-V,2008,207839,Nigerian used,E,Petrol,Automatic,red,1858000,13
Toyota,Solara,2004,1010,Nigerian used,D,Petrol,Automatic,red,1746000,17
Volkswagen,Passat,2006,112372,Nigerian used,D,Petrol,Automatic,black,682000,15
Peugeot,307,2008,165848,Nigerian used,C,Petrol,Automatic,pink,906000,13
Nissan,Pathfinder,2001,141017,Nigerian used,D,Petrol,Manual,silver,458000,20
Honda,Cr-V,2003,335401,Nigerian used,D,Petrol,Automatic,gold,906000,18
Kia,Cerato,2014,47342,Nigerian used,C,Electric,Automatic,black,2026000,7
Toyota,Matrix,2006,171208,Nigerian used,E,Petrol,Automatic,blue,1074000,15
Land Rover,Range Rover Sport,2010,123598,Nigerian used,C,Petrol,Automatic,white,3930000,11
Lexus,Rx 300,2000,164,Nigerian used,D,Petrol,Automatic,silver,1690000,21
Hyundai,Ix35,2011,79404,Nigerian used,C,Petrol,Automatic,green,2418000,10
Toyota,Rav4,2007,147370,Nigerian used,D,Petrol,Automatic,black,1690000,14
Toyota,Camry,1995,246525,Nigerian used,D,Petrol,Automatic,green,458000,26
Lexus,Is 250,2008,83378,Nigerian used,C,Petrol,Automatic,black,2586000,13
Lexus,Gx 470,2004,86693,Foreign used,D,Petrol,Automatic,black,4490000,17
Kia,Optima,2013,119553,Nigerian used,C,Petrol,Automatic,silver,2362000,8
Honda,Accord Crosstour,2010,86997,Nigerian used,D,Petrol,Automatic,opal sage,2922000,11
Honda,Accord,2003,82972,Nigerian used,E,Petrol,Automatic,blue,682000,18
Lexus,Rx 330,2004,94771,Nigerian used,D,Petrol,Automatic,silver,2026000,17
Ford,Edge,2011,316622,Nigerian used,D,Petrol,Automatic,black,2810000,10
Infiniti,Qx,1997,226429,Nigerian used,E,Petrol,Automatic,green,738000,24
Lexus,Gs 300,2006,137698,Foreign used,C,Petrol,Automatic,grey,3706000,15
Toyota,Camry,2005,105516,Nigerian used,C,Petrol,Automatic,blue,1354000,16
Mercedes-Benz,Ml500,2003,167308,Nigerian used,D,Petrol,Automatic,silver,1578000,18
Toyota,Highlander,2003,183983,Nigerian used,E,Petrol,Automatic,grey,1410000,18
Honda,Accord,2008,221321,Nigerian used,E,Petrol,Automatic,black,1018000,13
Land Rover,RANGE ROVER,2004,140000,Nigerian used,D,Petrol,Automatic,silver,2250000,17
Toyota,Venza,2010,114375,Foreign used,C,Petrol,Automatic,black,5610000,11
Lexus,Gx 470,2004,163151,Nigerian used,D,Petrol,Automatic,silver,3930000,17
Mercedes-Benz,A160,2001,247568,Foreign used,D,Diesel,Automatic,black,1466000,20
Toyota,Sienna,2000,211709,Nigerian used,D,Petrol,Automatic,grey,1242000,21
Honda,Pilot,2005,298797,Foreign used,D,Petrol,Automatic,silver,2250000,16
Jeep,Liberty,2012,89781,Nigerian used,C,Petrol,Automatic,grey,4266000,9
