manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price
Toyota,Land Cruiser,2020,2197,Nigerian used, ,Petrol,Automatic,Black,33000000
Acura,Mdx,2008,105242,Nigerian used,D,Petrol,Automatic,GREY,2586000
Toyota,Highlander,2001,152321,Nigerian used,C,Petrol,Automatic,GREEN,1914000
Ford,Explorer,2014,60187,Nigerian used,C,Petrol,Automatic,BROWN,4154000
Ford,Fusion,2012,81802,Nigerian used, ,Petrol,Automatic,,1018000
Kia,Cerato,2007,0,Nigerian used,E,Petrol,Manual,,738000
Toyota,Solara,2003,212731,Nigerian used, ,Petrol,Automatic,,1018000
Toyota,Camry,2002,145156,Nigerian used,E,Petrol,Automatic,,1354000
Toyota,Corolla,2007,192775,Nigerian used,D,Petrol,Automatic,GOLD,1522000
Toyota,Camry,2005,164151,Nigerian used,C,Petrol,Automatic,Red,1634000
Kia,Sportage,2011,86318,Nigerian used,C,Petrol,Manual,Brown,1802000
Toyota,Camry,2007,156872,Nigerian used,E,Petrol Electric,Automatic,GOLD,1466000
Toyota,Sequoia,2005,5286,Nigerian used,C,Petrol,Automatic,,1690000
Toyota,Camry,2005,140388,Nigerian used,D,Petrol,Automatic,GOLD,1354000
Honda,Pilot,2004,201697,Nigerian used,E,Petrol,Automatic,Black,1242000
Honda,Cr-V,1997,396482,Nigerian used, ,Petrol,Automatic,Black,458000
Honda,Accord,2006,141155,Nigerian used,E,Petrol,Automatic,Grey,794000
Lexus,Es 300,2002,120628,Nigerian used, ,Petrol,Automatic,SILVER,1690000
Ford,Escape,2005,202726,Nigerian used,D,Petrol,Automatic,GREEN,570000
BMW,3 Series,2002,240805,Nigerian used,,,,,682000
Kia,Cerato,2010,45868,Nigerian used, ,Petrol,Manual,RED,1018000
Toyota,Camry,2009,97955,Nigerian used, ,Petrol,Automatic,BLACK,1690000
Lexus,Es 350,2007,108502,Nigerian used,C,Petrol,Automatic,SILVER,3090000
Honda,Pilot,2003,1010,Nigerian used,C,Petrol,Automatic,Silver,1634000
Honda,Odyssey,2010,215312,Foreign used, ,Petrol,Automatic,WINE,3930000
Infiniti,G,2005,172315,Nigerian used, ,Petrol,Automatic,Grey (GREY),962000
Honda,Accord,2008,209833,Nigerian used,C,Petrol,Automatic,Black,1746000
Toyota,Corolla,2005,128055,Nigerian used,E,Petrol,Automatic,BLACK,1690000
Toyota,Avalon,2006,183384,Nigerian used,C,Petrol,Automatic,BLACK,1186000
Mercedes-Benz,GL450,2011,87660,Nigerian used,D,Petrol,Automatic,silver,5554000
Toyota,Sienna,2002,214532,Nigerian used,C,Petrol,Automatic,,1354000
Ford,Edge,2008,78292,Nigerian used, ,Petrol,Automatic,,1690000
Toyota,Camry,2009,95252,Foreign used,C,Petrol,Automatic,Grey,2698000
Mercedes-Benz,Ml350,2006,38892,Nigerian used, ,Petrol,Automatic,,2429200
Honda,Accord,2003,159702,Nigerian used,E,Petrol,Automatic,BLUE,570000
Kia,Sportage,2011,96593,Nigerian used,D,Petrol,Automatic,BROWN,1970000
Hyundai,Santa Fe,2002,186287,Nigerian used,D,Petrol,Automatic,GOLD,738000
GMC,Acadia,2014,112892,Nigerian used,D,Petrol,Automatic,White,5162000
Nissan,Pulsar,2004,437854,Nigerian used,D,Petrol,Automatic,,346000
Toyota,Camry,2007,135824,Nigerian used,E,Petrol,Automatic,Black,962000
Lexus,Es,2006,99751,Nigerian used,D,Petrol,Automatic,,3034000
Toyota,Camry,2007,129315,Nigerian used,E,Petrol,Automatic,GREEN,1802000
Infiniti,Fx,2004,84152,Nigerian used,E,Petrol,Automatic,Grey,794000
Hyundai,Veloster,2013,33027,Nigerian used,C,Petrol,Automatic,GOLD,2922000
Honda,Pilot,2003,154638,Nigerian used,D,Petrol,Automatic,,1018000
Toyota,Corolla,2015,25740,Foreign used, ,Petrol,Automatic,,6170000
Kia,Mohave,2013,107620,Nigerian used,E,Petrol,Automatic,BLACK,1690000
Toyota,Camry,2002,148599,Nigerian used, ,Petrol,Automatic,,1242000
