manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price
Toyota,Land Cruiser,2020.0,2197.0,Nigerian used,A,Petrol,Automatic,Black,33000000.0
Acura,Mdx,2008.0,105242.0,Nigerian used,D,Petrol,Automatic,GREY,2586000.0
Toyota,Highlander,2001.0,152321.0,Nigerian used,C,Petrol,Automatic,GREEN,1914000.0
Ford,Explorer,2014.0,60187.0,Nigerian used,C,Petrol,Automatic,BROWN,4154000.0
Kia,Cerato,2007.0,0.0,Nigerian used,E,Petrol,Manual,gold,738000.0
Toyota,Camry,2002.0,145156.0,Nigerian used,E,Petrol,Automatic,black,1354000.0
Toyota,Corolla,2007.0,192775.0,Nigerian used,D,Petrol,Automatic,GOLD,1522000.0
Toyota,Camry,2005.0,164151.0,Nigerian used,C,Petrol,Automatic,Red,1634000.0
Kia,Sportage,2011.0,86318.0,Nigerian used,C,Petrol,Manual,Brown,1802000.0
Toyota,Camry,2007.0,156872.0,Nigerian used,E,Petrol Electric,Automatic,GOLD,1466000.0
Toyota,Sequoia,2005.0,5286.0,Nigerian used,C,Petrol,Automatic,blue,1690000.0
Toyota,Camry,2005.0,140388.0,Nigerian used,D,Petrol,Automatic,GOLD,1354000.0
Honda,Pilot,2004.0,201697.0,Nigerian used,E,Petrol,Automatic,Black,1242000.0
Honda,Accord,2006.0,141155.0,Nigerian used,E,Petrol,Automatic,Grey,794000.0
Ford,Escape,2005.0,202726.0,Nigerian used,D,Petrol,Automatic,GREEN,570000.0
Lexus,Es 350,2007.0,108502.0,Nigerian used,C,Petrol,Automatic,SILVER,3090000.0
Honda,Pilot,2003.0,1010.0,Nigerian used,C,Petrol,Automatic,Silver,1634000.0
Honda,Accord,2008.0,209833.0,Nigerian used,C,Petrol,Automatic,Black,1746000.0
Toyota,Corolla,2005.0,128055.0,Nigerian used,E,Petrol,Automatic,BLACK,1690000.0
Toyota,Avalon,2006.0,183384.0,Nigerian used,C,Petrol,Automatic,BLACK,1186000.0
Mercedes-Benz,GL450,2011.0,87660.0,Nigerian used,D,Petrol,Automatic,silver,5554000.0
Toyota,Sienna,2002.0,214532.0,Nigerian used,C,Petrol,Automatic,white,1354000.0
Toyota,Camry,2009.0,95252.0,Foreign used,C,Petrol,Automatic,Grey,2698000.0
Honda,Accord,2003.0,159702.0,Nigerian used,E,Petrol,Automatic,BLUE,570000.0
Kia,Sportage,2011.0,96593.0,Nigerian used,D,Petrol,Automatic,BROWN,1970000.0
Hyundai,Santa Fe,2002.0,186287.0,Nigerian used,D,Petrol,Automatic,GOLD,738000.0
GMC,Acadia,2014.0,112892.0,Nigerian used,D,Petrol,Automatic,White,5162000.0
Nissan,Pulsar,2004.0,437854.0,Nigerian used,D,Petrol,Automatic,wine,346000.0
Toyota,Camry,2007.0,135824.0,Nigerian used,E,Petrol,Automatic,Black,962000.0
Lexus,Es,2007.0,99751.0,Nigerian used,D,Petrol,Automatic,silver,3034000.0
Toyota,Camry,2007.0,129315.0,Nigerian used,E,Petrol,Automatic,GREEN,1802000.0
Infiniti,Fx,2004.0,84152.0,Nigerian used,E,Petrol,Automatic,Grey,794000.0
Hyundai,Veloster,2013.0,33027.0,Nigerian used,C,Petrol,Automatic,GOLD,2922000.0
Honda,Pilot,2003.0,154638.0,Nigerian used,D,Petrol,Automatic,black,1018000.0
Kia,Mohave,2013.0,107620.0,Nigerian used,E,Petrol,Automatic,BLACK,1690000.0
Toyota,Corolla,2008.0,113802.0,Nigerian used,D,Petrol,Manual,black,794000.0
Toyota,Camry,2012.0,81037.0,Foreign used,E,Petrol,Automatic,silver,4266000.0
Ford,Explorer,2013.0,156239.0,Foreign used,C,Petrol Electric,Automatic,black,7290000.0
Lexus,Es 350,2011.0,69518.0,Foreign used,C,Petrol,Automatic,black,5274000.0
Chevrolet,Epica,2007.0,144346.0,Nigerian used,C,Petrol,Automatic,WHITE,1914000.0
Toyota,Camry,2004.0,321191.0,Nigerian used,E,Petrol,Automatic,Black,1354000.0
Peugeot,307,2008.0,98724.0,Nigerian used,D,Petrol,Automatic,BLACK,850000.0
Toyota,Corolla,2003.0,144406.0,Nigerian used,D,Petrol,Automatic,beige,1578000.0
Honda,Ridgeline,2007.0,180480.0,Nigerian used,E,Petrol,Automatic,Silver,1354000.0
Toyota,Corolla,2010.0,81896.0,Nigerian used,D,Petrol,Automatic,Black (BLACK),2362000.0
Toyota,Venza,2015.0,71484.0,Nigerian used,D,Petrol,Automatic,blue,5610000.0
Toyota,Rav4,2002.0,181469.0,Nigerian used,D,Petrol,Automatic,Black,1130000.0
Toyota,Highlander,2009.0,263078.0,Nigerian used,D,Petrol,Automatic,GREY,3370000.0
Honda,Cr-V,2008.0,182493.0,Nigerian used,C,Petrol,Automatic,GREY,2026000.0
Mazda,Cx-7,2008.0,83423.0,Nigerian used,D,Petrol,Automatic,black,1690000.0
Toyota,Highlander,2007.0,93857.0,Nigerian used,D,Petrol,Automatic,WHITE,4714000.0
Toyota,Corolla,2011.0,66899.0,Foreign used,D,Petrol,Automatic,SILVER,3706000.0
Toyota,Camry,2007.0,111326.0,Nigerian used,C,Petrol,Automatic,BLUE,1522000.0
Mercedes-Benz,C300,2009.0,133047.0,Nigerian used,D,Petrol,Automatic,BLACK,2810000.0
Toyota,Camry,2011.0,68640.0,Foreign used,D,Petrol,Automatic,SILVER,2810000.0
BMW,X5,2004.0,186561.0,Nigerian used,E,Petrol,Automatic,BROWN,850000.0
Nissan,Xterra,2006.0,114063.0,Nigerian used,D,Petrol,Automatic,black,1018000.0
Toyota,Camry,2009.0,277218.0,Foreign used,C,Petrol Electric,Semiautomatic,RED,2306000.0
Toyota,Sienna,2004.0,261729.0,Foreign used,C,Petrol,Automatic,grey,2586000.0
Mercedes-Benz,E320,2005.0,142373.0,Nigerian used,C,Petrol,Automatic,Grey,1242000.0
